product_id,brand,fixed_price,discounted_price,url,colors,sizes,rank_score,top,middle,small,product_info,fitting_info,additional_info,brand2
MN2E5WJC483W,MINE,595000,595000,"['/MN/2E/SS/MN2E5WJC483W_NL_W01.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W02.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W03.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W04.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W05.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W06.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W07.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W08.jpg?rs=684X1032', '/MN/2E/SS/MN2E5WJC483W_NL_W09.jpg?rs=684X1032']",['NEUTRAL'],"['76', '82', '88']",1.0,여성,아우터,자켓,"서로 다른 컬러를 믹스하여 포인트를 준 하프 슬리브 자켓입니다. 이탈리아 수입의 린넨과 면 혼방 소재를 사용해 한층 고급스럽게 완성했으며, 살짝 크롭한 기장감이 트렌디한 분위기를 자아냅니다. 가슴 양쪽에 패치 포켓을 디자인했으며, 소맷단과 뒷면 밑단 양옆에 슬릿을 더해 섬세하게 완성했습니다. 깔끔한 레귤러 실루엣으로 높은 활용도를 자랑합니다.","174cm, 55 사이즈 모델이 82 사이즈 착용","['이탈리아 수입 원단', '린넨과 면 혼방 소재', '앞면에 버튼 클로징', '가슴 양쪽에 포켓', '소맷단과 뒷면 밑단 양옆에 슬릿']",MINE
SJ2E4WJC232W,SJSJ,475000,475000,"['/SJ/2E/SS/SJ2E4WJC232W_DN_W01.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_DN_W02.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_DN_W03.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_DN_W04.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_DN_W05.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_DN_W06.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_DN_W07.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W01.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W02.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W03.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W04.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W05.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W06.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W07.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W08.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E4WJC232W_OW_W09.jpg?rs=684X1032']","['DARK NAVY', 'OFF WHITE']","['76', '82', '88']",0.8888888888888888,여성,아우터,자켓,"입체감 있는 레이스 텍스처로 이루어져 있는 외관이 시선을 사로잡는 자켓입니다. 자연스러운 실루엣과 골반에서 떨어지는 크롭 기장이 어우러져 깔끔한 분위기를 자아내며, 양옆에 버튼 여밈의 패치 포켓을 디자인했습니다. 에지를 따라 브레이드 라인을 더해 형태감을 유지해 주며, 같은 소재의 쇼츠와 셋업하여 세련된 룩을 완성하기 좋은 아이템입니다.","174cm, 55 사이즈 모델이 82 사이즈 착용","['100% 면 소재', '앞면에 버튼 클로징', '양옆에 포켓']",SJSJ
LC2E4WJC964W,LANVIN COLLECTION,795000,795000,"['/LC/2E/SS/LC2E4WJC964W_OW_W01.jpg?rs=684X1032', '/LC/2E/SS/LC2E4WJC964W_OW_W02.jpg?rs=684X1032', '/LC/2E/SS/LC2E4WJC964W_OW_W03.jpg?rs=684X1032', '/LC/2E/SS/LC2E4WJC964W_OW_W04.jpg?rs=684X1032', '/LC/2E/SS/LC2E4WJC964W_OW_W05.jpg?rs=684X1032', '/LC/2E/SS/LC2E4WJC964W_OW_W06.jpg?rs=684X1032', '/LC/2E/SS/LC2E4WJC964W_OW_W07.jpg?rs=684X1032', '/LC/2E/SS/LC2E4WJC964W_OW_W08.jpg?rs=684X1032']",['OFF WHITE'],"['82', '88']",0.7777777777777778,여성,아우터,자켓,"밑단으로 갈수록 풍성하게 넓어지는 실루엣과 독특한 슬리브 디자인으로 케이프를 입은 듯한 룩을 연출하는 자켓입니다. 간결한 칼라리스 디자인이며, 앞면에 골드톤의 시그니쳐 로고 버튼을 더해 포인트를 주었습니다. 내추럴한 질감의 린넨 혼방 소재를 사용하여 S/S 시즌 무드와 함께 가볍고 편안한 착용감이 돋보이는 아이템입니다.","178cm, 55 사이즈 모델이 82 사이즈 착용","['린넨 혼방 소재', '앞면의 버튼 클로징', '칼라리스 디자인', '케이프 디자인의 슬리브']",LANVIN COLLECTION
SJ2E1WJC216WM2,SJSJ,455000,455000,"['/SJ/2E/SS/SJ2E1WJC216WM2_CR_W01.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_CR_W02.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_CR_W03.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_CR_W04.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_CR_W05.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_CR_W06.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_CR_W07.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_DN_W01.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_DN_W02.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_DN_W03.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_DN_W04.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_DN_W05.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_DN_W06.jpg?rs=684X1032', '/SJ/2E/SS/SJ2E1WJC216WM2_DN_W07.jpg?rs=684X1032']","['CREAM', 'DARK NAVY']","['76', '82', '88']",0.6666666666666667,여성,아우터,자켓,"입체감 있는 트위드 텍스처와 깔끔한 컬러감의 조화가 돋보이는 칼라리스 자켓입니다. 앞면에 광택감 있는 엠블럼 버튼으로 포인트를 주었으며, 뒷면 밑단에 슬릿을 더해 활동성을 높여주었습니다. 힙을 가리는 기장과 레귤러 실루엣으로 다양한 이너와 함께 매치하여 포멀한 분위기를 완성하기 좋습니다. ","176cm, 55 사이즈 모델이 82 사이즈 착용","['앞면에 버튼 클로징', '가슴 양쪽과 양옆에 포켓', '소맷단 버튼 여밈', '뒷면 밑단에 슬릿']",SJSJ
CM2E3WJC158WP1,the CASHMERE,695000,695000,"['/CM/2E/SS/CM2E3WJC158WP1_LE_W01.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_LE_W02.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_LE_W03.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_LE_W04.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_LE_W05.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_LE_W06.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_LE_W07.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_OW_W01.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_OW_W02.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_OW_W03.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_OW_W04.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_OW_W05.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_OW_W06.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_OW_W07.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_PE_W01.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_PE_W02.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_PE_W03.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_PE_W04.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_PE_W05.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_PE_W06.jpg?rs=684X1032', '/CM/2E/SS/CM2E3WJC158WP1_PE_W07.jpg?rs=684X1032']","['LIGHT BEIGE', 'OFF WHITE', 'PALE BEIGE']","['82', '88']",0.5555555555555556,여성,아우터,자켓,"내추럴한 질감이 돋보이는 린넨 혼방 소재를 사용하여 S/S 시즌 무드가 느껴지는 싱글 자켓입니다. 어깨 내부에 패드를 더해 자연스럽게 각이 지는 실루엣을 연출하며, 양옆의 큼직한 패치 포켓으로 포인트를 주었습니다. 뒷면 밑단에 슬릿을 더해 활동성을 높여주었으며, 여유로운 핏으로 다양한 이너 탑과 두루 매치하기 좋은 아이템입니다.","173cm, 55 사이즈 모델이 82 사이즈 착용","['린넨 혼방 소재', '앞면에 버튼 클로징', '양옆에 포켓', '소맷단에 버튼 여밈', '뒷면 밑단에 슬릿']",the CASHMERE
CM2E4WOT130W,the CASHMERE,545000,545000,"['/CM/2E/SS/CM2E4WOT130W_OW_W01.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_OW_W02.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_OW_W03.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_OW_W04.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_OW_W05.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_OW_W06.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_OW_W07.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_YG_W01.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_YG_W02.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_YG_W03.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_YG_W04.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_YG_W05.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_YG_W06.jpg?rs=684X1032', '/CM/2E/SS/CM2E4WOT130W_YG_W07.jpg?rs=684X1032']","['OFF WHITE', 'YELLOW GREY']","['82', '88']",0.4444444444444444,여성,아우터,자켓,"이탈리아 수입의 린넨 혼방 소재를 사용하여 가볍고 편안한 착용감을 전해주며, 글로시한 광택감이 어우러져 고급스럽고 세련된 룩을 연출하는 자켓입니다. 슬리브가 없는 박시한 실루엣으로 자연스럽게 흐르는 듯한 룩을 연출하며, 칼라와 라펠이 분리되지 않은 디자인으로 유니크한 매력을 더했습니다. 해당 제품은 팬츠와 같은 소재 및 컬러로 제작하여 한 벌로도 착용 가능하도록 제안하였습니다.","174cm, 55 사이즈 모델이 82 사이즈 착용","['이탈리아 수입 원단', '린넨 혼방 소재', '앞면의 버튼 클 로징', '양옆에 포켓']",the CASHMERE
SY2E3WJC512WP1,SYSTEM,459000,459000,"['/SY/2E/SS/SY2E3WJC512WP1_KG_W01.jpg?rs=684X1032', '/SY/2E/SS/SY2E3WJC512WP1_KG_W02.jpg?rs=684X1032', '/SY/2E/SS/SY2E3WJC512WP1_KG_W03.jpg?rs=684X1032', '/SY/2E/SS/SY2E3WJC512WP1_KG_W04.jpg?rs=684X1032', '/SY/2E/SS/SY2E3WJC512WP1_KG_W05.jpg?rs=684X1032', '/SY/2E/SS/SY2E3WJC512WP1_KG_W06.jpg?rs=684X1032', '/SY/2E/SS/SY2E3WJC512WP1_KG_W07.jpg?rs=684X1032']",['CHARCOAL GREY'],"['82', '88']",0.33333333333333337,여성,아우터,자켓,"가벼운 터치감과 내추럴한 질감이 돋보이는 소재로 제작된 자켓입니다. S/S 시즌 무드를 자아내는 하프 슬리브 디자인이며, 여유로운 실루엣으로 편안한 착용감을 전해줍니다. 가슴 한쪽에 포켓을 연상시키는 스티치 라인을 더해 포인트를 주었으며, 이면에 인포켓을 부착하여 실용성을 겸비해 주었습니다. ","175cm, 55 사이즈 모델이 82 사이즈 착용","['앞면에 버튼 클로징', '양옆에 포켓과 내부에 1개의 인포켓']",SYSTEM
LC2E5WJC983W,LANVIN COLLECTION,1250000,1250000,"['/LC/2E/SS/LC2E5WJC983W_OW_W01.jpg?rs=684X1032', '/LC/2E/SS/LC2E5WJC983W_OW_W02.jpg?rs=684X1032', '/LC/2E/SS/LC2E5WJC983W_OW_W03.jpg?rs=684X1032', '/LC/2E/SS/LC2E5WJC983W_OW_W04.jpg?rs=684X1032', '/LC/2E/SS/LC2E5WJC983W_OW_W05.jpg?rs=684X1032', '/LC/2E/SS/LC2E5WJC983W_OW_W06.jpg?rs=684X1032', '/LC/2E/SS/LC2E5WJC983W_OW_W07.jpg?rs=684X1032', '/LC/2E/SS/LC2E5WJC983W_OW_W08.jpg?rs=684X1032']",['OFF WHITE'],"['82', '88']",0.2222222222222222,여성,아우터,자켓,"은은한 비침이 느껴지는 성근 텍스처 짜임이 시선을 사로잡는 자켓입니다. 간결한 오픈 타입이며, 에지에 컬러 블록의 스캘럽 라인을 더해 포인트를 주었습니다. 양옆에 버튼 여밈의 패치 포켓을 디자인했으며, 깔끔한 레귤러 실루엣과 살짝 크롭한 기장감으로 섬세하게 완성했습니다. ","178cm, 55 사이즈 모델이 82 사이즈 착용","['오픈 타입', '하프 슬리브 디자인', '양옆에 포켓']",LANVIN COLLECTION
CM2E5WJC159W,the CASHMERE,695000,695000,"['/CM/2E/SS/CM2E5WJC159W_TP_W01.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_TP_W02.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_TP_W03.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_TP_W04.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_TP_W05.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_TP_W06.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_TP_W07.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_WS_W01.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_WS_W02.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_WS_W03.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_WS_W04.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_WS_W05.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_WS_W06.jpg?rs=684X1032', '/CM/2E/SS/CM2E5WJC159W_WS_W07.jpg?rs=684X1032']","['TAUPE', 'WHITE SAND']","['82', '88']",0.11111111111111116,여성,아우터,자켓,"내추럴한 주름이 눈길을 끄는 크링클 텍스처를 사용하였으며, 실크 혼방 소재로 제작하여 가볍고 편안한 착용감을 전해주는 싱글 자켓입니다. 여유로운 오버사이즈 실루엣과 원 버튼 클로징이 어우러져 편안하면서도 세련된 룩을 자아내며, 톤 온 톤 컬러의 배색 스티치 디테일을 더해 섬세하게 완성했습니다. 더 캐시미어만의 미니멀한 디자인과 감각적인 뉴트럴 컬러가 어우러져 어디에나 쉽게 매치할 수 있는 아이템입니다.","174cm, 55 사이즈 모델이 82 사이즈 착용","['실크 혼방 소재', '앞면의 버튼 클로징', '싱글 브레스티드 디자인', '양옆에 포켓']",the CASHMERE
LC2E3WOT453W,LANVIN COLLECTION,745000,745000,"['/LC/2E/SS/LC2E3WOT453W_GY_W01.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_GY_W02.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_GY_W03.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_GY_W04.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_GY_W05.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_GY_W06.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_GY_W07.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W01.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W02.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W03.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W04.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W05.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W06.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W07.jpg?rs=684X1032', '/LC/2E/SS/LC2E3WOT453W_NY_W08.jpg?rs=684X1032']","['GREY', 'NAVY']",['82'],0.0,여성,아우터,자켓,"규칙적으로 반복되는 자카드 패턴이 시선을 끄는 하프 슬리브 자켓입니다. 앞면에 랑방 컬렉션의 엠블럼 버튼을 세팅하여 포인트를 주었으며, 각 끝단을 리브로 마감해 자연스러운 볼륨감을 더해주었습니다. 버튼 업 디자인으로 버튼을 모두 클로징 하여 탑처럼 연출할 수 있으며, 같은 소재의 슬리브리스 탑과 셋업 스타일링이 가능합니다.","179cm, 55 사이즈 모델이 82 사이즈 착용","['면 혼방 소재', '앞면에 버튼 클로징', '하프 슬리브 디자인', '각 끝단 리브 마감']",LANVIN COLLECTION
