brandNameKr,itemCd,heartCnt,statusName,customerPrice,finalPrice,itemName,imageUrls
웬즈데이오아시스,302746077,1607.0,판매중,57350.0,40145,overfit two-way hoodie zipup(4col),"['//product-image.wconcept.co.kr/productimg/image/img0/77/302746077_RN10119.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/77/302746077_add1_ST58292.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/77/302746077_add2_PV26923.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/77/302746077_add3_YJ42098.jpg?thumbnail=60x80']"
팔육디,304069749,17.0,판매중,619000.0,341400,STITCH LEATHER JACKET (DARK BROWN),"['//product-image.wconcept.co.kr/productimg/image/img0/49/304069749_YK21398.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/49/304069749_add1_XE66280.jpg?thumbnail=60x80']"
레씨토,301320113,2.0,판매중,269000.0,269000,SUMMER WOOL DADDY FIT 2-BUTTON BLAZER_[GRAYISH GREEN],"['//product-image.wconcept.co.kr/productimg/image/img0/13/301320113_TH94674.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/13/301320113_add1_BV81776.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/13/301320113_add2_RC13341.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/13/301320113_add3_CP77708.jpg?thumbnail=60x80']"
코닥 어패럴,305686017,24.0,판매중,199000.0,173130,씨너리 컬러블록 아노락 자켓 IVORY,"['//product-image.wconcept.co.kr/productimg/image/img0/17/305686017_MG21533.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/17/305686017_add1_GK16813.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/17/305686017_add2_GG91082.jpg?thumbnail=60x80']"
빅유니온,302328438,214.0,판매중,98000.0,47040,89LINE ZIP UP HOODIE / OATMEAL,['//product-image.wconcept.co.kr/productimg/image/img0/38/302328438_WI45928.jpg']
벤셔먼,304026216,63.0,판매중,188000.0,150400,유니 파이핑 트리밍 아노락 점퍼 BNCJP361U,"['//product-image.wconcept.co.kr/productimg/image/img0/16/304026216_GI83039.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/16/304026216_add1_GG97322.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/16/304026216_add2_GG17437.jpg?thumbnail=60x80']"
티엔지티,305794423,0.0,판매중,149000.0,141550,『Kinoshita』 그레이 시어서커 언컨스트럭티드 셋업 자켓 (TNJA4E201G2),"['//product-image.wconcept.co.kr/productimg/image/img0/23/305794423_GO11400.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/23/305794423_add1_GG78745.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/23/305794423_add2_ON16924.jpg?thumbnail=60x80']"
티엔지티,305794418,2.0,판매중,139000.0,132050,[SUMMER EDIT] 블랙 레귤러핏 셋업 자켓 (TNJA4E200BK),"['//product-image.wconcept.co.kr/productimg/image/img0/18/305794418_GK12160.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/18/305794418_add1_GG13728.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/18/305794418_add2_GG13728.jpg?thumbnail=60x80']"
디써티원,305694846,34.0,판매중,169000.0,110229,Contrast Stitch Denim Jacket (ALMOND MILK),"['//product-image.wconcept.co.kr/productimg/image/img0/46/305694846_SC88073.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/46/305694846_add1_VR33697.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/46/305694846_add2_EI53792.jpg?thumbnail=60x80']"
와릿이즌,305357112,7.0,판매중,239000.0,107550,엔젤 후드 다운 숏푸퍼 다크 그레이,['//product-image.wconcept.co.kr/productimg/image/img0/12/305357112_GK20895.jpg']
인더스트,304344674,34.0,판매중,170000.0,116000,하이글로시 덕다운 패딩 자켓_4COLOR,"['//product-image.wconcept.co.kr/productimg/image/img0/74/304344674_OA38870.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/74/304344674_add1_YY97464.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/74/304344674_add2_RM67785.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/74/304344674_add3_QP57913.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/74/304344674_add4_RW89884.jpg?thumbnail=60x80']"
더니트컴퍼니,303800897,2.0,판매중,177000.0,99528,크리스피 나일론 유틸리티 자켓 2color,['//product-image.wconcept.co.kr/productimg/image/img0/97/303800897_NL19146.jpg']
플루크,305733727,15.0,판매중,159000.0,65076,플루크 패커블 윈드브레이커 자켓 FJK110 / 4color,"['//product-image.wconcept.co.kr/productimg/image/img0/27/305733727_HG68922.jpg', '//product-image.wconcept.co.kr/productimg/image/img0/27/305733727_add1_PE84933.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/27/305733727_add2_UH71549.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/27/305733727_add3_CE16521.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/27/305733727_add4_TA24865.jpg?thumbnail=60x80', '//product-image.wconcept.co.kr/productimg/image/img0/27/305733727_add5_DP58986.jpg?thumbnail=60x80']"
